brand,model,year,price,transmission,mileage,fuelType,mpg,engineSize
audi, A1,2017,12500,Manual,15735,Petrol,55.4,1.4
audi, A1,2016,11000,Manual,29946,Petrol,55.4,1.4
audi, A3,2019,17300,Manual,1998,Petrol,49.6,1.0
audi, A1,2016,13900,Automatic,32260,Petrol,58.9,1.4
audi, A6,2016,13250,Automatic,76788,Diesel,61.4,2.0
audi, A3,2015,10200,Manual,46112,Petrol,60.1,1.4
audi, A1,2016,12000,Manual,22451,Petrol,55.4,1.4
audi, A3,2017,16100,Manual,28955,Petrol,58.9,1.4
audi, A6,2016,16500,Automatic,52198,Diesel,57.6,2.0
audi, Q3,2016,17000,Manual,44915,Diesel,52.3,2.0
audi, A3,2017,16400,Manual,21695,Petrol,58.9,1.4
audi, A6,2015,15400,Manual,47348,Diesel,61.4,2.0
audi, A3,2017,14500,Automatic,26156,Petrol,58.9,1.4
audi, Q3,2016,15700,Automatic,28396,Diesel,53.3,2.0
audi, A3,2014,13900,Automatic,30516,Petrol,56.5,1.4
audi, Q5,2016,19000,Automatic,37652,Diesel,47.1,2.0
audi, Q3,2014,17000,Manual,34110,Petrol,47.9,1.4
audi, Q5,2016,20200,Automatic,23714,Diesel,47.1,2.0
audi, A5,2017,22500,Automatic,21649,Diesel,58.9,3.0
audi, A6,2015,17500,Automatic,62748,Diesel,53.3,3.0
audi, Q5,2016,20000,Automatic,23789,Diesel,47.1,2.0
audi, A5,2017,19500,Automatic,33300,Diesel,61.4,2.0
audi, A1,2018,15800,Manual,10793,Petrol,56.5,1.4
audi, Q3,2017,16500,Manual,21369,Petrol,51.4,1.4
audi, Q3,2014,15000,Automatic,39190,Diesel,47.9,2.0
audi, Q3,2017,16000,Automatic,47482,Petrol,47.9,1.4
audi, Q3,2016,16900,Automatic,40501,Diesel,51.4,2.0
audi, Q3,2014,12300,Automatic,43195,Diesel,47.9,2.0
audi, A6,2016,19400,Automatic,34030,Diesel,58.9,2.0
audi, Q3,2016,17200,Automatic,39603,Diesel,50.4,2.0
audi, Q3,2017,20300,Automatic,42908,Diesel,51.4,2.0
audi, A5,2014,13200,Automatic,83872,Diesel,58.9,2.0
audi, Q3,2016,15200,Automatic,58750,Petrol,47.9,1.4
audi, A3,2019,15700,Manual,2029,Petrol,49.6,1.0
audi, A6,2018,16600,Automatic,22958,Petrol,50.4,1.8
audi, A5,2017,20200,Automatic,13057,Petrol,53.3,2.0
audi, Q3,2016,15900,Manual,32011,Petrol,49.6,1.4
audi, Q3,2016,15000,Manual,39134,Diesel,60.1,2.0
audi, Q5,2015,14700,Automatic,89483,Diesel,47.1,2.0
audi, A6,2016,16000,Automatic,47767,Diesel,61.4,2.0
audi, A1,2014,11000,Manual,34315,Petrol,53.3,1.4
audi, A6,2016,18500,Manual,34110,Diesel,61.4,2.0
audi, Q3,2017,15000,Manual,44898,Diesel,57.7,2.0
audi, Q3,2017,14000,Manual,67161,Petrol,51.4,1.4
audi, A3,2018,18950,Manual,17992,Petrol,54.3,1.5
audi, A3,2013,11500,Automatic,51441,Petrol,50.4,1.8
audi, A6,2016,16600,Manual,32808,Diesel,61.4,2.0
audi, A3,2019,16000,Manual,5704,Petrol,49.6,1.0
audi, A4,2017,16900,Manual,10959,Petrol,51.4,1.4
audi, Q5,2016,19600,Automatic,30201,Diesel,47.1,2.0
audi, A6,2017,16200,Manual,22582,Diesel,61.4,2.0
audi, A5,2017,18700,Manual,20052,Petrol,49.6,2.0
audi, Q3,2016,16100,Manual,16666,Diesel,60.1,2.0
audi, A3,2016,14100,Manual,10460,Petrol,60.1,1.4
audi, A6,2016,16600,Automatic,43307,Diesel,57.6,2.0
audi, A1,2017,11300,Manual,29327,Petrol,55.4,1.4
audi, Q3,2017,15600,Manual,36714,Petrol,51.4,1.4
audi, A1,2014,10000,Manual,28324,Petrol,53.3,1.4
audi, A1,2016,14500,Manual,12100,Petrol,56.5,1.4
audi, A1,2016,10600,Manual,28760,Petrol,55.4,1.4
